name,prc,rcl,f01
o_celloracle.o_celloracle.o_celloracle.o_celloracle,0.2673093777388255,0.0003313899035818,0.0297786490807817
o_collectri.o_collectri.o_collectri.o_collectri,0.3338132949364051,0.0015114932162098,0.1050806966735528
o_deepmaps.o_deepmaps.o_deepmaps.o_deepmaps,0.4609375,6.410409636040844e-05,0.0063857056210069
o_dictys.o_dictys.o_dictys.o_dictys,0.2550893743793446,0.0089331319212754,0.2004118216469486
o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.418732782369146,0.0009909887394558,0.0809353892871672
o_figr.o_figr.o_figr.o_figr,0.2772533153517644,0.0026805922728966,0.1376522759000927
o_granie.o_granie.o_granie.o_granie,0.4588329336530775,0.0006236764531715,0.0554536854499836
o_linger.o_linger.o_linger.o_linger,0.1417445026791204,0.0052609557964517,0.1127768006965787
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,0.164523574019123,0.0054204781100672,0.1274767723353727
o_pando.o_pando.o_pando.o_pando,0.2484725050916497,0.0005302163565226,0.0441340677072187
o_random.o_random.o_random.o_random,0.072936660268714,4.128738409653425e-05,0.0039466188438196
o_scenic.o_scenic.o_scenic.o_scenic,0.2946461999251217,0.0008551299102059,0.0669404797596149
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.2766734279918864,0.0059289783161962,0.1905300623118664
