name,prc,rcl,f01
o_celloracle.o_celloracle.o_celloracle.o_celloracle,0.5303030303030303,0.1776649746192893,0.5200823892893924
o_collectri.o_collectri.o_collectri.o_collectri,0.3073770491803279,0.3807106598984771,0.3079643859007195
o_dictys.o_dictys.o_dictys.o_dictys,0.3053097345132743,0.350253807106599,0.3056981181734438
o_dorothea.o_dorothea.o_dorothea.o_dorothea,0.3253012048192771,0.2741116751269035,0.3247008394356135
o_granie.o_granie.o_granie.o_granie,0.2359550561797752,0.2131979695431472,0.2357059509918319
o_linger.o_linger.o_linger.o_linger,0.2737127371273712,0.5126903553299492,0.2749818044585815
o_linger_baseline.o_linger_baseline.o_linger_baseline.o_linger_baseline,0.2790123456790123,0.5736040609137056,0.2804383615499914
o_pando.o_pando.o_pando.o_pando,0.3013333333333333,0.5736040609137056,0.3027561874950261
o_random.o_random.o_random.o_random,0.1672025723472668,0.2639593908629442,0.1678116113365498
o_scenic.o_scenic.o_scenic.o_scenic,0.2481203007518796,0.3350253807106599,0.2487591894615068
o_scenicplus.o_scenicplus.o_scenicplus.o_scenicplus,0.494949494949495,0.248730964467005,0.4901455877983559
